video_id,titulo,status,timestamp
VCAGRE8hXk8,Como NÃO ESQUECER O QUE ESTUDOU!,DRY_RUN,2026-06-12T16:59:41.820589+00:00
sgiveDj2c-s,Alguém tem que falar... #concursos #estudos #concursopublico,DRY_RUN,2026-06-12T16:59:42.406676+00:00
YukYQO6mdSU,Banco do Brasil: Matérias mais cobradas! #concursos,DRY_RUN,2026-06-12T16:59:43.000392+00:00
S_2sQPjl-9o,✨dicas de estudo✨ #concursos #estudos,DRY_RUN,2026-06-12T16:59:43.586895+00:00
sj9CKrQiauk,Concurseiro raiz sabe mto bem!! 😂😂 #concursos #estudos,DRY_RUN,2026-06-12T16:59:44.190925+00:00
5UhqJHRq2Bk,Como Estudar por Questões (PASSO A PASSO PRÁTICO!),DRY_RUN,2026-06-12T16:59:44.773423+00:00
Lrl0IiE-15g,"Link na bio do outro app, busque por Felipe Graton #concursos #concurso #concursopublico",DRY_RUN,2026-06-12T16:59:45.361094+00:00
v4XSBPBNFug,✨motivação para estudar✨ #concursopublico #estudos #concursos,DRY_RUN,2026-06-12T16:59:45.946067+00:00
1WgBc8VgUrY,2 Técnicas Essenciais para Memorizar Conteúdo Profundamente #shorts,DRY_RUN,2026-06-12T16:59:46.531559+00:00
HxLS0zXA16Y,Como PARAR DE BATER NA TRAVE nos CONCURSOS PÚBLICOS,DRY_RUN,2026-06-12T16:59:47.116005+00:00
-24Isadc3wI,Como Estudei Para Passar em 3 Concursos (sem segredo e sem frescura),DRY_RUN,2026-06-12T16:59:47.710027+00:00
ZnQUBXmTvBk,Por Que as Videoaulas estão estragando seu Estudo para Concursos,DRY_RUN,2026-06-12T16:59:48.294134+00:00
MR2emHP2Dw4,Como dominar a técnica de Revisão Ativa (E decorar qualquer matéria),DRY_RUN,2026-06-12T16:59:48.877710+00:00
hErOtJ_ZZg0,COMO REVISAR A MATÉRIA DO TJSP (Para acertar mais de 90%),DRY_RUN,2026-06-12T16:59:49.463482+00:00
MUGLwjMX3mA,7 PASSOS PARA CONSEGUIR ESTUDAR TODOS OS DIAS (Sem surtar),DRY_RUN,2026-06-12T16:59:50.074823+00:00
3Q2Y0yPt6jk,Como filtrar questões para o TJSP (fácil e rápido),DRY_RUN,2026-06-12T16:59:50.683610+00:00
ry4AGI2XHOM,Vale a pena ser CARTEIRO?? (Opinião Sincera) - CORREIOS,DRY_RUN,2026-06-12T16:59:51.275875+00:00
S_2sQPjl-9o,✨dicas de estudo✨ #concursos #estudos,DRY_RUN,2026-06-12T16:59:51.880851+00:00
g9RYLE0nP5E,Faça isso para decidir qual CONCURSO PRESTAR (4 dicas práticas),DRY_RUN,2026-06-12T16:59:52.496402+00:00
92KgcWG5wCI,Por que eu decidi ESTUDAR Para CONCURSOS PÚBLICOS,DRY_RUN,2026-06-12T16:59:53.080954+00:00
hwTgvK7gOY4,PAREI de PROCRASTINAR para ESTUDAR depois de entender isso,DRY_RUN,2026-06-12T16:59:53.675078+00:00
Lrl0IiE-15g,"Link na bio do outro app, busque por Felipe Graton #concursos #concurso #concursopublico",DRY_RUN,2026-06-12T16:59:54.270554+00:00
dN6vt1Y82EY,"Decorar a lei seca não é fácil, mas vai ser mais difícil se você não fizer exercícios #concursos",DRY_RUN,2026-06-12T16:59:54.866855+00:00
U4XG35fFEsI,Como os Concursos Públicos mudaram minha vida em 1 ano (do zero),DRY_RUN,2026-06-12T16:59:55.470320+00:00
5UhqJHRq2Bk,Como Estudar por Questões (PASSO A PASSO PRÁTICO!),DRY_RUN,2026-06-12T16:59:56.063976+00:00
Y8Stgfn7q7s,Banco do Brasil 2026: Salário e Progressão Revelados! #shorts,DRY_RUN,2026-06-12T16:59:56.654124+00:00
OagevxOD0_Y,É melhor fazer FACULDADE ou prestar um Concurso de Nível Médio?,DRY_RUN,2026-06-12T16:59:57.255410+00:00
4dRBUCVWIBw,7 Passos para Estudar SEM TER SONO (Mesmo Morto de Cansaço),DRY_RUN,2026-06-12T16:59:57.846643+00:00
Cj-b-D-cEAU,MEUS MAIORES ERROS ESTUDANDO PARA CONCURSOS,DRY_RUN,2026-06-12T16:59:58.441400+00:00
Cs9P4CDYQCg,Como PARAR de PROCRASTINAR nos ESTUDOS para Concursos,DRY_RUN,2026-06-12T16:59:59.051153+00:00
4UuRHwQZ8pQ,Como Conseguir ESTUDAR POR MAIS TEMPO (Concentrado),DRY_RUN,2026-06-12T16:59:59.671068+00:00
g09hPwIuyGU,Técnicas de Chute para Provas e Concursos - Como chutar em Provas,DRY_RUN,2026-06-12T17:00:00.269561+00:00
t-tYX2RVv0U,Concurso do Banco do Brasil de 2026 #concurso #bancodobrasil,DRY_RUN,2026-06-12T17:00:00.858238+00:00
gi1xpsWCNnA,CONCURSO Do Banco do Brasil Afetado? Fechamento de Agências e Queda nas Ações,DRY_RUN,2026-06-12T17:00:01.448429+00:00
GNMLksflPBU,Como Estudar Menos e Aprender Mais: A Técnica que Me Aprovou 3x em Concursos,DRY_RUN,2026-06-12T17:00:02.031228+00:00
PHe33dkShxg,Concurso Banco do Brasil 2026: Vagas e Cargos Revelados! #shorts,DRY_RUN,2026-06-12T17:00:02.617570+00:00
sKL4HUsNZ08,Dá tempo de começar a estudar agora para o concurso do Banco do Brasil?,DRY_RUN,2026-06-12T17:00:03.214314+00:00
-zyvi65JXDA,O próximo concurso do Banco do Brasil promete muitas vagas! #concursos,DRY_RUN,2026-06-12T17:00:03.806910+00:00
uraOsvZB0ak,Concurso do Banco do Brasil é o melhor de nível médio para 2026 #concurso #bancodobrasil #concursos,DRY_RUN,2026-06-12T17:00:04.407852+00:00
6qx89jttYXI,Elimine Alternativas Erradas para Chutar Melhor #shorts,DRY_RUN,2026-06-12T17:00:05.001783+00:00
Ct6Dw2qVYzU,No concurso do Banco do Brasil é possível escolher a cidade que vai trabalhar? #concursos,DRY_RUN,2026-06-12T17:00:05.613444+00:00
4EI640FohBE,O Concurso do Banco do Brasil segue sendo a melhor oportunidade de nível médio para o ano de 2025!,DRY_RUN,2026-06-12T17:00:06.196327+00:00
bZ8y8rLVSFw,Erro comum em estudantes de concursos #concursos,DRY_RUN,2026-06-12T17:00:06.800673+00:00
O_9HwRG6-sY,🇧🇷Banco do Brasil: Concurso ainda em 2026! #concurso #concursopublico,DRY_RUN,2026-06-12T17:00:07.401450+00:00
bSyfK3vHiwU,Banco do Brasil ou TJSP? Qual dos dois concursos você prefere e por que? #concursos #estudos,DRY_RUN,2026-06-12T17:00:08.002041+00:00
oO5WOVQSrdE,Concurso Banco do Brasil: Dá Tempo de Passar Agora? #shorts,DRY_RUN,2026-06-12T17:00:08.593472+00:00
kgBLIUFSkCM,Aprovado TJSP duas vezes com 90+ usando esse material,DRY_RUN,2026-06-12T17:00:09.189428+00:00
r3ZUNoQv6QI,Concurso do Banco do Brasil #concurso #bancodobrasil,DRY_RUN,2026-06-12T17:00:09.790310+00:00
f26FbNN9rHM,🚨Concurso do Banco do Brasil: Seleção da banca! #concursos,DRY_RUN,2026-06-12T17:00:10.375376+00:00
YgxI-R-djvg,Conquiste sua Aprovação Rápida em Concursos Públicos #shorts,DRY_RUN,2026-06-12T17:00:10.977236+00:00
Lbhm_waWSwY,Minha nota na PROVA DE DIGITAÇÃO do MPSP (Oficial de Promotoria),DRY_RUN,2026-06-12T17:00:11.582479+00:00
1rP0CJt5ZKk,Como Estudei 8 Matérias para o Banco do Brasil #shorts,DRY_RUN,2026-06-12T17:00:12.170886+00:00
eJU4_iqkO-Q,Essa mudança pode te APROVAR no seu PRÓXIMO CONCURSO PÚBLICO!,DRY_RUN,2026-06-12T17:00:12.808089+00:00
PWKWHlmenSc,Sobre a Carreira do Banco do Brasil #concursos,DRY_RUN,2026-06-12T17:00:13.477755+00:00
N6POE0At_c0,Concurso do Banco do Brasil vem esse ano? #concurso,DRY_RUN,2026-06-12T17:00:14.072803+00:00
sj9CKrQiauk,Concurseiro raiz sabe mto bem!! 😂😂 #concursos #estudos,DRY_RUN,2026-06-12T17:00:14.669528+00:00
w4BaYfvBVxE,Estratégia de revisar para não esquecer o que estudou #concursos,DRY_RUN,2026-06-12T17:00:15.281197+00:00
FF6V-aXWTAs,Concurso Banco do Brasil: Faça isso AGORA no seu Cronograma para Conquistar a sua Aprovação,DRY_RUN,2026-06-12T17:00:15.886401+00:00
gi1xpsWCNnA,CONCURSO Do Banco do Brasil Afetado? Fechamento de Agências e Queda nas Ações,DRY_RUN,2026-06-12T17:00:16.471247+00:00
